"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"2020121","2020","12/03/2020","607250.00","830000.00","0.7316"
"20188","2020","05/03/2021","100450.00","200000.00","0.5022"
"10120","2001","08/07/2002","31170.00","264900.00","0.117667044"
"200188","2020","04/21/2021","100340.00","245000.00","0.4095"
"200211","2020","06/18/2021","116410.00","261000.00","0.446"
"10878","2001","05/06/2002","51170.00","134000.00","0.381865672"
"200012","2020","10/09/2020","130550.00","198400.00","0.658"
"200392","2020","09/16/2021","228480.00","368500.00","0.62"
"10022","2001","10/19/2001","17630.00","26000.00","0.678076923"
"11035","2001","07/07/2002","80290.00","145750.00","0.550874786"
"10389","2001","07/03/2002","94520.00","199000.00","0.474974874"
"200177","2020","08/12/2021","343140.00","600000.00","0.5719"
"10744","2001","02/21/2002","182200.00","334000.00","0.545508982"
"200080","2020","02/08/2021","54700.00","125000.00","0.4376"
"10703","2001","03/27/2002","58030.00","0.00","0"
"200577","2020","06/02/2021","155200.00","229900.00","0.675"
"20445","2020","08/12/2021","252140.00","483000.00","0.522"
"200693","2020","03/09/2021","246700.00","399000.00","0.6182"
"200210","2020","07/12/2021","169400.00","345000.00","0.491"
"200260","2020","04/27/2021","469820.00","672050.00","0.699"
"200305","2020","01/26/2021","233660.00","410000.00","0.5699"
"20398","2020","02/04/2021","229950.00","550000.00","0.418090909"
"200789","2020","08/23/2021","476500.00","767500.00","0.6208"
"200772","2020","09/17/2021","112840.00","265000.00","0.4258"
"201446","2020","07/20/2021","620480.00","965000.00","0.6429"
"200507","2020","09/14/2021","96550.00","184900.00","0.5221"
"2020108","2020","01/08/2021","136100.00","269000.00","0.5059"
"200060","2020","04/06/2021","116900.00","215000.00","0.5437"
"200544","2020","06/02/2021","343800.00","612500.00","0.5613"
"200226","2020","07/30/2021","122270.00","267500.00","0.457"
"200007","2020","11/04/2020","227149.00","530000.00","0.4285"
"20041","2020","06/14/2021","225990.00","380000.00","0.5947"
"20000009","2020","10/08/2020","315430.00","660000.00","0.4779"
"20138","2020","05/12/2021","238350.00","330000.00","0.7222"
"20010","2020","12/01/2020","203700.00","178000.00","1.1443"
"200000324","2020","07/07/2021","327010.00","467000.00","0.7002"
"201312","2020","08/26/2021","108430.00","150000.00","0.722866667"
"200221","2020","02/19/2021","163820.00","301473.00","0.5433"
"200207","2020","08/25/2021","248400.00","462500.00","0.537"
"200408","2020","12/24/2020","130800.00","260000.00","0.503"
"201049","2020","07/23/2021","106500.00","204000.00","0.522"
"200188","2020","02/02/2021","146860.00","272500.00","0.5389"
"201129","2020","08/19/2021","114954.00","360000.00","0.3193"
"200930","2020","04/30/2021","1481130.00","2545000.00","0.581976424"
"20481","2020","08/30/2021","54929.00","589294.00","0.093211538"
"201234","2020","05/25/2021","214690.00","355000.00","0.6047"
"200020","2020","04/26/2021","41650.00","99000.00","0.4207"
"200076","2020","01/20/2021","10460.00","149900.00","0.0697"
"200622","2020","02/23/2021","126400.00","231400.00","0.5462"
"20000104","2020","12/14/2020","141730.00","215000.00","0.659209302"
"200223","2020","02/23/2021","162820.00","285000.00","0.5712"
"2020133","2020","01/13/2021","174600.00","339000.00","0.515"
"200400","2020","12/28/2020","256300.00","470000.00","0.5453"
"200574","2020","01/08/2021","116100.00","338376.00","0.3431"
"2020046","2020","11/05/2020","194200.00","299900.00","0.6475"
"200707","2020","09/10/2021","323480.00","650000.00","0.4976"
"201148","2020","08/24/2021","76918.00","280000.00","0.274707143"
"20000209","2020","03/18/2021","237840.00","375000.00","0.6342"
"200000382","2020","08/19/2021","223440.00","450000.00","0.4965"
"20166","2020","01/25/2021","693980.00","940000.00","0.7382"
"200013","2020","10/15/2020","206640.00","285000.00","0.725"
"200052","2020","11/25/2020","133900.00","315000.00","0.425"
"200052","2020","02/04/2021","211730.00","290000.00","0.730103448"
"200258","2020","12/31/2020","94270.00","165900.00","0.5682"
"200256","2020","01/20/2021","521430.00","903500.00","0.5771"
"200051","2020","11/02/2020","392900.00","629000.00","0.6246"
"20191","2020","02/22/2021","646450.00","1180000.00","0.5478"
"201218","2020","07/15/2021","106300.00","236900.00","0.4487"
"2000228","2020","05/24/2021","170520.00","300000.00","0.5684"
"201254","2020","09/24/2021","110911.00","325000.00","0.3412"
"200315","2020","05/06/2021","334600.00","260000.00","1.2869"
"200739","2020","09/24/2021","155270.00","315000.00","0.4929"
"200240","2020","03/23/2021","218500.00","200000.00","1.0925"
"200984","2020","07/06/2021","292500.00","530000.00","0.5518"
"200129","2020","04/22/2021","167910.00","280000.00","0.5996"
"200011","2020","10/01/2020","76090.00","148700.00","0.5117"
"200020","2020","12/08/2020","187800.00","255000.00","0.736470588"
"200061","2020","10/15/2020","75530.00","90600.00","0.8336"
"200573","2020","07/29/2021","86790.00","192000.00","0.452"
